t,orig,recon
2.8,-0.0190608034,-0.0267515013
2.81,-0.0190608034,-0.0263022087
2.82,-0.0190608034,-0.0258026434
2.83,-0.0180608034,-0.025253099
2.84,-0.0180608034,-0.0246539518
2.85,-0.0170608034,-0.0240056519
2.86,-0.0170608034,-0.0233087141
2.87,-0.0160608034,-0.0225637087
2.88,-0.0160608034,-0.0217712525
2.89,-0.0150608034,-0.0209319996
2.9,-0.0140608034,-0.020046633
2.91,-0.0140608034,-0.0191158569
2.92,-0.0130608034,-0.0181403893
2.93,-0.0120608034,-0.0171209553
2.94,-0.0110608034,-0.0160582824
2.95,-0.0100608034,-0.0149530955
2.96,-0.0100608034,-0.0138061139
2.97,-0.00906080337,-0.0126180492
2.98,-0.00806080337,-0.0113896046
2.99,-0.00706080337,-0.0101214749
3,-0.00606080337,-0.00881434833
3.01,-0.00406080337,-0.00746890899
3.02,-0.00306080337,-0.00608584065
3.03,-0.00206080337,-0.0046658314
3.04,-0.00106080337,-0.00320957923
3.05,-6.08033657e-05,-0.00171779831
3.06,0.000939196634,-0.000191225914
3.07,0.00293919663,0.00136937027
3.08,0.00393919663,0.00296318444
3.09,0.00493919663,0.00458936495
3.1,0.00693919663,0.00624700654
3.11,0.00793919663,0.00793514287
3.12,0.00993919663,0.0096527393
3.13,0.0109391966,0.0113986863
3.14,0.0119391966,0.0131717937
3.15,0.0139391966,0.0149707852
3.16,0.0149391966,0.0167942944
3.17,0.0169391966,0.0186408618
3.18,0.0189391966,0.0205089326
3.19,0.0199391966,0.0223968557
3.2,0.0219391966,0.0243028846
3.21,0.0229391966,0.0262251786
3.22,0.0249391966,0.0281618055
3.23,0.0259391966,0.0301107465
3.24,0.0279391966,0.0320699007
3.25,0.0299391966,0.0340370915
3.26,0.0309391966,0.0360100746
3.27,0.0329391966,0.0379865456
3.28,0.0339391966,0.0399641492
3.29,0.0359391966,0.041940489
3.3,0.0379391966,0.0439131378
3.31,0.0389391966,0.0458796476
3.32,0.0409391966,0.0478375609
3.33,0.0419391966,0.0497844208
3.34,0.0439391966,0.0517177822
3.35,0.0449391966,0.0536352213
3.36,0.0469391966,0.0555343459
3.37,0.0489391966,0.0574128044
3.38,0.0499391966,0.059268294
3.39,0.0519391966,0.0610985688
3.4,0.0529391966,0.0629014457
3.41,0.0539391966,0.0646748108
3.42,0.0559391966,0.0664166231
3.43,0.0569391966,0.0681249185
3.44,0.0589391966,0.0697978116
3.45,0.0599391966,0.0714334968
3.46,0.0609391966,0.0730302485
3.47,0.0629391966,0.0745864197
3.48,0.0639391966,0.0761004396
3.49,0.0649391966,0.077570811
3.5,0.0659391966,0.0789961059
3.51,0.0669391966,0.0803749609
3.52,0.0689391966,0.081706072
3.53,0.0699391966,0.0829881889
3.54,0.0709391966,0.0842201086
3.55,0.0719391966,0.0854006693
3.56,0.0729391966,0.0865287445
